College,Gender,Race,Year,demographics tooltip,Number of students
Communication,Male,"Black or African American, only",2012,63 (0.1%) students,63
Communication,Male,"Asian, only",2012,89 (0.2%) students,89
Communication,Male,"American Indian or Alaska Native, only",2012,No students match your selections or these data are privacy suppressed.,
Communication,Male,"White, only",2011,898 (1.8%) students,898
Communication,Male,Unknown or Blank,2011,14 (0.0%) students,14
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2011,15 (0.0%) students,15
Communication,Male,Non-resident Alien,2011,79 (0.2%) students,79
Communication,Male,Hispanic,2011,310 (0.6%) students,310
Communication,Male,"Black or African American, two or more excluding Hispanic",2011,5 (0.0%) students,5
Communication,Male,"Black or African American, only",2011,69 (0.1%) students,69
Communication,Male,"Asian, only",2011,101 (0.2%) students,101
Communication,Male,"American Indian or Alaska Native, only",2011,No students match your selections or these data are privacy suppressed.,
Communication,Male,"White, only",2010,926 (1.8%) students,926
Communication,Male,Unknown or Blank,2010,13 (0.0%) students,13
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2010,8 (0.0%) students,8
Communication,Male,Non-resident Alien,2010,79 (0.2%) students,79
Communication,Male,Hispanic,2010,283 (0.6%) students,283
Communication,Male,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Communication,Male,"Black or African American, only",2010,72 (0.1%) students,72
Communication,Male,"Asian, only",2010,104 (0.2%) students,104
Communication,Male,"American Indian or Alaska Native, only",2010,5 (0.0%) students,5
Communication,Male,"White, only",2009,933 (1.8%) students,933
Communication,Male,Unknown or Blank,2009,13 (0.0%) students,13
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Communication,Male,Non-resident Alien,2009,85 (0.2%) students,85
Communication,Male,Hispanic,2009,264 (0.5%) students,264
Communication,Male,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Communication,Male,"Black or African American, only",2009,75 (0.1%) students,75
Communication,Male,"Asian, only",2009,126 (0.2%) students,126
Communication,Male,"American Indian or Alaska Native, only",2009,6 (0.0%) students,6
Communication,Male,"White, only",2008,892 (1.8%) students,892
Communication,Male,Unknown or Blank,2008,7 (0.0%) students,7
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Communication,Male,Non-resident Alien,2008,75 (0.2%) students,75
Communication,Male,Hispanic,2008,272 (0.5%) students,272
Communication,Male,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Communication,Male,"Black or African American, only",2008,75 (0.2%) students,75
Communication,Male,"Asian, only",2008,122 (0.2%) students,122
Communication,Male,"American Indian or Alaska Native, only",2008,9 (0.0%) students,9
Education,Female,"White, only",2018,832 (1.6%) students,832
Education,Female,Unknown or Blank,2018,16 (0.0%) students,16
Education,Female,"Two or more, excluding Hispanic and Black or African American",2018,41 (0.1%) students,41
Education,Female,Non-resident Alien,2018,130 (0.3%) students,130
Education,Female,Hispanic,2018,473 (0.9%) students,473
Education,Female,"Black or African American, two or more excluding Hispanic",2018,15 (0.0%) students,15
Education,Female,"Black or African American, only",2018,142 (0.3%) students,142
Education,Female,"Asian, only",2018,137 (0.3%) students,137
Education,Female,"American Indian or Alaska Native, only",2018,No students match your selections or these data are privacy suppressed.,
Education,Female,"White, only",2017,914 (1.8%) students,914
Education,Female,Unknown or Blank,2017,19 (0.0%) students,19
Education,Female,"Two or more, excluding Hispanic and Black or African American",2017,38 (0.1%) students,38
Education,Female,Non-resident Alien,2017,125 (0.2%) students,125
Education,Female,Hispanic,2017,489 (1.0%) students,489
Education,Female,"Black or African American, two or more excluding Hispanic",2017,15 (0.0%) students,15
Education,Female,"Black or African American, only",2017,123 (0.2%) students,123
Education,Female,"Asian, only",2017,147 (0.3%) students,147
Education,Female,"American Indian or Alaska Native, only",2017,6 (0.0%) students,6
Education,Female,"White, only",2016,929 (1.8%) students,929
Education,Female,Unknown or Blank,2016,19 (0.0%) students,19
Education,Female,"Two or more, excluding Hispanic and Black or African American",2016,49 (0.1%) students,49
Education,Female,Non-resident Alien,2016,131 (0.3%) students,131
Education,Female,Hispanic,2016,480 (0.9%) students,480
Education,Female,"Black or African American, two or more excluding Hispanic",2016,17 (0.0%) students,17
Education,Female,"Black or African American, only",2016,136 (0.3%) students,136
Education,Female,"Asian, only",2016,156 (0.3%) students,156
Education,Female,"American Indian or Alaska Native, only",2016,No students match your selections or these data are privacy suppressed.,
Education,Female,"White, only",2015,1049 (2.1%) students,1049
Education,Female,Unknown or Blank,2015,15 (0.0%) students,15
Education,Female,"Two or more, excluding Hispanic and Black or African American",2015,46 (0.1%) students,46
Education,Female,Non-resident Alien,2015,128 (0.3%) students,128
Education,Female,Hispanic,2015,493 (1.0%) students,493
Education,Female,"Black or African American, two or more excluding Hispanic",2015,18 (0.0%) students,18
Education,Female,"Black or African American, only",2015,166 (0.3%) students,166
Education,Female,"Asian, only",2015,145 (0.3%) students,145
Education,Female,"American Indian or Alaska Native, only",2015,No students match your selections or these data are privacy suppressed.,
Education,Female,"White, only",2014,1144 (2.2%) students,1144
Education,Female,Unknown or Blank,2014,17 (0.0%) students,17
Education,Female,"Two or more, excluding Hispanic and Black or African American",2014,46 (0.1%) students,46
Education,Female,Non-resident Alien,2014,153 (0.3%) students,153
Education,Female,Hispanic,2014,477 (0.9%) students,477
Education,Female,"Black or African American, two or more excluding Hispanic",2014,17 (0.0%) students,17
Education,Female,"Black or African American, only",2014,155 (0.3%) students,155
Education,Female,"Asian, only",2014,126 (0.2%) students,126
Education,Female,"American Indian or Alaska Native, only",2014,No students match your selections or these data are privacy suppressed.,
Education,Female,"White, only",2013,1231 (2.4%) students,1231
Education,Female,Unknown or Blank,2013,15 (0.0%) students,15
Education,Female,"Two or more, excluding Hispanic and Black or African American",2013,37 (0.1%) students,37
Education,Female,Non-resident Alien,2013,152 (0.3%) students,152
Education,Female,Hispanic,2013,500 (1.0%) students,500
Education,Female,"Black or African American, two or more excluding Hispanic",2013,13 (0.0%) students,13
Education,Female,"Black or African American, only",2013,168 (0.3%) students,168
Education,Female,"Asian, only",2013,128 (0.2%) students,128
Education,Female,"American Indian or Alaska Native, only",2013,5 (0.0%) students,5
Education,Female,"White, only",2012,1243 (2.4%) students,1243
Education,Female,Unknown or Blank,2012,18 (0.0%) students,18
Education,Female,"Two or more, excluding Hispanic and Black or African American",2012,25 (0.0%) students,25
Education,Female,Non-resident Alien,2012,156 (0.3%) students,156
Education,Female,Hispanic,2012,512 (1.0%) students,512
Education,Female,"Black or African American, two or more excluding Hispanic",2012,11 (0.0%) students,11
Education,Female,"Black or African American, only",2012,163 (0.3%) students,163
Education,Female,"Asian, only",2012,164 (0.3%) students,164
Education,Female,"American Indian or Alaska Native, only",2012,No students match your selections or these data are privacy suppressed.,
Education,Female,"White, only",2011,1286 (2.5%) students,1286
Education,Female,Unknown or Blank,2011,17 (0.0%) students,17
Education,Female,"Two or more, excluding Hispanic and Black or African American",2011,21 (0.0%) students,21
Education,Female,Non-resident Alien,2011,148 (0.3%) students,148
Education,Female,Hispanic,2011,490 (1.0%) students,490
Education,Female,"Black or African American, two or more excluding Hispanic",2011,8 (0.0%) students,8
Education,Female,"Black or African American, only",2011,167 (0.3%) students,167
Education,Female,"Asian, only",2011,163 (0.3%) students,163
Education,Female,"American Indian or Alaska Native, only",2011,6 (0.0%) students,6
Education,Female,"White, only",2010,1341 (2.6%) students,1341
Education,Female,Unknown or Blank,2010,25 (0.0%) students,25
Education,Female,"Two or more, excluding Hispanic and Black or African American",2010,16 (0.0%) students,16
Education,Female,Non-resident Alien,2010,162 (0.3%) students,162
Education,Female,Hispanic,2010,488 (1.0%) students,488
Education,Female,"Black or African American, two or more excluding Hispanic",2010,8 (0.0%) students,8
Education,Female,"Black or African American, only",2010,178 (0.3%) students,178
Education,Female,"Asian, only",2010,179 (0.4%) students,179
Education,Female,"American Indian or Alaska Native, only",2010,11 (0.0%) students,11
Education,Female,"White, only",2009,1275 (2.5%) students,1275
Education,Female,Unknown or Blank,2009,20 (0.0%) students,20
Education,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Education,Female,Non-resident Alien,2009,170 (0.3%) students,170
Education,Female,Hispanic,2009,449 (0.9%) students,449
Education,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Education,Female,"Black or African American, only",2009,185 (0.4%) students,185
Education,Female,"Asian, only",2009,162 (0.3%) students,162
Education,Female,"American Indian or Alaska Native, only",2009,10 (0.0%) students,10
Education,Female,"White, only",2008,1263 (2.5%) students,1263
Education,Female,Unknown or Blank,2008,16 (0.0%) students,16
Education,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Education,Female,Non-resident Alien,2008,163 (0.3%) students,163
Education,Female,Hispanic,2008,427 (0.9%) students,427
Education,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Education,Female,"Black or African American, only",2008,162 (0.3%) students,162
Education,Female,"Asian, only",2008,143 (0.3%) students,143
Education,Female,"American Indian or Alaska Native, only",2008,11 (0.0%) students,11
Education,Male,"White, only",2018,416 (0.8%) students,416
Education,Male,Unknown or Blank,2018,7 (0.0%) students,7
Education,Male,"Two or more, excluding Hispanic and Black or African American",2018,11 (0.0%) students,11
Education,Male,Non-resident Alien,2018,62 (0.1%) students,62
Education,Male,Hispanic,2018,198 (0.4%) students,198
Education,Male,"Black or African American, two or more excluding Hispanic",2018,14 (0.0%) students,14
Education,Male,"Black or African American, only",2018,94 (0.2%) students,94
Education,Male,"Asian, only",2018,71 (0.1%) students,71
Education,Male,"American Indian or Alaska Native, only",2018,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2017,391 (0.8%) students,391
Education,Male,Unknown or Blank,2017,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2017,19 (0.0%) students,19
Education,Male,Non-resident Alien,2017,69 (0.1%) students,69
Education,Male,Hispanic,2017,199 (0.4%) students,199
Education,Male,"Black or African American, two or more excluding Hispanic",2017,8 (0.0%) students,8
Education,Male,"Black or African American, only",2017,82 (0.2%) students,82
Education,Male,"Asian, only",2017,66 (0.1%) students,66
Education,Male,"American Indian or Alaska Native, only",2017,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2016,407 (0.8%) students,407
Education,Male,Unknown or Blank,2016,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2016,19 (0.0%) students,19
Education,Male,Non-resident Alien,2016,77 (0.2%) students,77
Education,Male,Hispanic,2016,209 (0.4%) students,209
Education,Male,"Black or African American, two or more excluding Hispanic",2016,9 (0.0%) students,9
Education,Male,"Black or African American, only",2016,93 (0.2%) students,93
Education,Male,"Asian, only",2016,73 (0.1%) students,73
Education,Male,"American Indian or Alaska Native, only",2016,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2015,449 (0.9%) students,449
Education,Male,Unknown or Blank,2015,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2015,14 (0.0%) students,14
Education,Male,Non-resident Alien,2015,72 (0.1%) students,72
Education,Male,Hispanic,2015,253 (0.5%) students,253
Education,Male,"Black or African American, two or more excluding Hispanic",2015,9 (0.0%) students,9
Education,Male,"Black or African American, only",2015,121 (0.2%) students,121
Education,Male,"Asian, only",2015,82 (0.2%) students,82
Education,Male,"American Indian or Alaska Native, only",2015,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2014,492 (1.0%) students,492
Education,Male,Unknown or Blank,2014,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2014,14 (0.0%) students,14
Education,Male,Non-resident Alien,2014,71 (0.1%) students,71
Education,Male,Hispanic,2014,246 (0.5%) students,246
Education,Male,"Black or African American, two or more excluding Hispanic",2014,7 (0.0%) students,7
Education,Male,"Black or African American, only",2014,124 (0.2%) students,124
Education,Male,"Asian, only",2014,72 (0.1%) students,72
Education,Male,"American Indian or Alaska Native, only",2014,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2013,515 (1.0%) students,515
Education,Male,Unknown or Blank,2013,5 (0.0%) students,5
Education,Male,"Two or more, excluding Hispanic and Black or African American",2013,13 (0.0%) students,13
Education,Male,Non-resident Alien,2013,63 (0.1%) students,63
Education,Male,Hispanic,2013,268 (0.5%) students,268
Education,Male,"Black or African American, two or more excluding Hispanic",2013,7 (0.0%) students,7
Education,Male,"Black or African American, only",2013,110 (0.2%) students,110
Education,Male,"Asian, only",2013,87 (0.2%) students,87
Education,Male,"American Indian or Alaska Native, only",2013,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2012,567 (1.1%) students,567
Education,Male,Unknown or Blank,2012,11 (0.0%) students,11
Education,Male,"Two or more, excluding Hispanic and Black or African American",2012,12 (0.0%) students,12
Education,Male,Non-resident Alien,2012,67 (0.1%) students,67
Education,Male,Hispanic,2012,238 (0.5%) students,238
Education,Male,"Black or African American, two or more excluding Hispanic",2012,5 (0.0%) students,5
Education,Male,"Black or African American, only",2012,104 (0.2%) students,104
Education,Male,"Asian, only",2012,73 (0.1%) students,73
Education,Male,"American Indian or Alaska Native, only",2012,6 (0.0%) students,6
Education,Male,"White, only",2011,543 (1.1%) students,543
Education,Male,Unknown or Blank,2011,10 (0.0%) students,10
Education,Male,"Two or more, excluding Hispanic and Black or African American",2011,9 (0.0%) students,9
Education,Male,Non-resident Alien,2011,76 (0.1%) students,76
Education,Male,Hispanic,2011,239 (0.5%) students,239
Education,Male,"Black or African American, two or more excluding Hispanic",2011,No students match your selections or these data are privacy suppressed.,
Education,Male,"Black or African American, only",2011,118 (0.2%) students,118
Education,Male,"Asian, only",2011,71 (0.1%) students,71
Education,Male,"American Indian or Alaska Native, only",2011,5 (0.0%) students,5
Education,Male,"White, only",2010,552 (1.1%) students,552
Education,Male,Unknown or Blank,2010,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2010,5 (0.0%) students,5
Education,Male,Non-resident Alien,2010,77 (0.2%) students,77
Education,Male,Hispanic,2010,228 (0.4%) students,228
Education,Male,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Education,Male,"Black or African American, only",2010,117 (0.2%) students,117
Education,Male,"Asian, only",2010,67 (0.1%) students,67
Education,Male,"American Indian or Alaska Native, only",2010,No students match your selections or these data are privacy suppressed.,
Education,Male,"White, only",2009,540 (1.1%) students,540
Education,Male,Unknown or Blank,2009,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Education,Male,Non-resident Alien,2009,77 (0.2%) students,77
Education,Male,Hispanic,2009,211 (0.4%) students,211
Education,Male,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Education,Male,"Black or African American, only",2009,119 (0.2%) students,119
Education,Male,"Asian, only",2009,53 (0.1%) students,53
Education,Male,"American Indian or Alaska Native, only",2009,6 (0.0%) students,6
Education,Male,"White, only",2008,484 (1.0%) students,484
Education,Male,Unknown or Blank,2008,No students match your selections or these data are privacy suppressed.,
Education,Male,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Education,Male,Non-resident Alien,2008,73 (0.1%) students,73
Education,Male,Hispanic,2008,194 (0.4%) students,194
Education,Male,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Education,Male,"Black or African American, only",2008,118 (0.2%) students,118
Education,Male,"Asian, only",2008,49 (0.1%) students,49
Education,Male,"American Indian or Alaska Native, only",2008,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"White, only",2018,784 (1.5%) students,784
Engineering,Female,Unknown or Blank,2018,28 (0.1%) students,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2018,80 (0.2%) students,80
Engineering,Female,Non-resident Alien,2018,324 (0.6%) students,324
Engineering,Female,Hispanic,2018,299 (0.6%) students,299
Engineering,Female,"Black or African American, two or more excluding Hispanic",2018,13 (0.0%) students,13
Engineering,Female,"Black or African American, only",2018,52 (0.1%) students,52
Engineering,Female,"Asian, only",2018,551 (1.1%) students,551
Engineering,Female,"White, only",2017,778 (1.5%) students,778
Engineering,Female,Unknown or Blank,2017,28 (0.1%) students,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2017,75 (0.1%) students,75
Engineering,Female,Non-resident Alien,2017,316 (0.6%) students,316
Engineering,Female,Hispanic,2017,287 (0.6%) students,287
Engineering,Female,"Black or African American, two or more excluding Hispanic",2017,11 (0.0%) students,11
Engineering,Female,"Black or African American, only",2017,47 (0.1%) students,47
Engineering,Female,"Asian, only",2017,546 (1.1%) students,546
Engineering,Female,"White, only",2016,786 (1.5%) students,786
Engineering,Female,Unknown or Blank,2016,28 (0.1%) students,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2016,70 (0.1%) students,70
Engineering,Female,Non-resident Alien,2016,299 (0.6%) students,299
Engineering,Female,Hispanic,2016,280 (0.5%) students,280
Engineering,Female,"Black or African American, two or more excluding Hispanic",2016,8 (0.0%) students,8
Engineering,Female,"Black or African American, only",2016,50 (0.1%) students,50
Engineering,Female,"Asian, only",2016,533 (1.0%) students,533
Engineering,Female,"White, only",2015,774 (1.5%) students,774
Engineering,Female,Unknown or Blank,2015,21 (0.0%) students,21
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2015,71 (0.1%) students,71
Engineering,Female,Non-resident Alien,2015,277 (0.5%) students,277
Engineering,Female,Hispanic,2015,255 (0.5%) students,255
Engineering,Female,"Black or African American, two or more excluding Hispanic",2015,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2015,47 (0.1%) students,47
Engineering,Female,"Asian, only",2015,484 (1.0%) students,484
Engineering,Female,"White, only",2014,749 (1.5%) students,749
Engineering,Female,Unknown or Blank,2014,15 (0.0%) students,15
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2014,60 (0.1%) students,60
Engineering,Female,Non-resident Alien,2014,273 (0.5%) students,273
Engineering,Female,Hispanic,2014,234 (0.5%) students,234
Engineering,Female,"Black or African American, two or more excluding Hispanic",2014,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2014,40 (0.1%) students,40
Engineering,Female,"Asian, only",2014,436 (0.9%) students,436
Engineering,Female,"White, only",2013,749 (1.4%) students,749
Engineering,Female,Unknown or Blank,2013,12 (0.0%) students,12
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2013,47 (0.1%) students,47
Engineering,Female,Non-resident Alien,2013,275 (0.5%) students,275
Engineering,Female,Hispanic,2013,247 (0.5%) students,247
Engineering,Female,"Black or African American, two or more excluding Hispanic",2013,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2013,49 (0.1%) students,49
Engineering,Female,"Asian, only",2013,377 (0.7%) students,377
Engineering,Female,"White, only",2012,761 (1.5%) students,761
Engineering,Female,Unknown or Blank,2012,11 (0.0%) students,11
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2012,41 (0.1%) students,41
Engineering,Female,Non-resident Alien,2012,267 (0.5%) students,267
Engineering,Female,Hispanic,2012,227 (0.4%) students,227
Engineering,Female,"Black or African American, two or more excluding Hispanic",2012,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2012,48 (0.1%) students,48
Engineering,Female,"Asian, only",2012,348 (0.7%) students,348
Engineering,Female,"White, only",2011,750 (1.5%) students,750
Engineering,Female,Unknown or Blank,2011,9 (0.0%) students,9
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2011,30 (0.1%) students,30
Engineering,Female,Non-resident Alien,2011,285 (0.6%) students,285
Engineering,Female,Hispanic,2011,227 (0.4%) students,227
Engineering,Female,"Black or African American, two or more excluding Hispanic",2011,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2011,36 (0.1%) students,36
Engineering,Female,"Asian, only",2011,318 (0.6%) students,318
Engineering,Female,"White, only",2010,753 (1.5%) students,753
Engineering,Female,Unknown or Blank,2010,9 (0.0%) students,9
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2010,18 (0.0%) students,18
Engineering,Female,Non-resident Alien,2010,307 (0.6%) students,307
Engineering,Female,Hispanic,2010,233 (0.5%) students,233
Engineering,Female,"Black or African American, two or more excluding Hispanic",2010,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2010,31 (0.1%) students,31
Engineering,Female,"Asian, only",2010,312 (0.6%) students,312
Engineering,Female,"White, only",2009,739 (1.5%) students,739
Engineering,Female,Unknown or Blank,2009,8 (0.0%) students,8
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2009,No students match your selections or these data are privacy suppressed.,
Engineering,Female,Non-resident Alien,2009,300 (0.6%) students,300
Engineering,Female,Hispanic,2009,233 (0.5%) students,233
Engineering,Female,"Black or African American, two or more excluding Hispanic",2009,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2009,34 (0.1%) students,34
Engineering,Female,"Asian, only",2009,343 (0.7%) students,343
Engineering,Female,"White, only",2008,665 (1.3%) students,665
Engineering,Female,Unknown or Blank,2008,7 (0.0%) students,7
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2008,No students match your selections or these data are privacy suppressed.,
Engineering,Female,Non-resident Alien,2008,271 (0.5%) students,271
Engineering,Female,Hispanic,2008,204 (0.4%) students,204
Engineering,Female,"Black or African American, two or more excluding Hispanic",2008,No students match your selections or these data are privacy suppressed.,
Engineering,Female,"Black or African American, only",2008,33 (0.1%) students,33
Engineering,Female,"Asian, only",2008,320 (0.6%) students,320
Engineering,Male,"White, only",2018,2109 (4.1%) students,2109
Engineering,Male,Unknown or Blank,2018,88 (0.2%) students,88
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2018,174 (0.3%) students,174
Engineering,Male,Non-resident Alien,2018,1158 (2.2%) students,1158
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2018,7 (0.0%) students,7
Engineering,Male,Hispanic,2018,763 (1.5%) students,763
Engineering,Male,"Black or African American, two or more excluding Hispanic",2018,24 (0.0%) students,24
Engineering,Male,"Black or African American, only",2018,104 (0.2%) students,104
Engineering,Male,"Asian, only",2018,1485 (2.9%) students,1485
Engineering,Male,"American Indian or Alaska Native, only",2018,No students match your selections or these data are privacy suppressed.,
Engineering,Male,"White, only",2017,2157 (4.2%) students,2157
Engineering,Male,Unknown or Blank,2017,78 (0.2%) students,78
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2017,156 (0.3%) students,156
Engineering,Male,Non-resident Alien,2017,1178 (2.3%) students,1178
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2017,5 (0.0%) students,5
Engineering,Male,Hispanic,2017,738 (1.4%) students,738
Engineering,Male,"Black or African American, two or more excluding Hispanic",2017,21 (0.0%) students,21
Engineering,Male,"Black or African American, only",2017,94 (0.2%) students,94
Engineering,Male,"Asian, only",2017,1460 (2.8%) students,1460
Engineering,Male,"American Indian or Alaska Native, only",2017,No students match your selections or these data are privacy suppressed.,
Engineering,Male,"White, only",2016,2170 (4.2%) students,2170
Engineering,Male,Unknown or Blank,2016,81 (0.2%) students,81
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2016,135 (0.3%) students,135
Engineering,Male,Non-resident Alien,2016,1194 (2.3%) students,1194
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2016,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2016,700 (1.4%) students,700
Engineering,Male,"Black or African American, two or more excluding Hispanic",2016,22 (0.0%) students,22
Engineering,Male,"Black or African American, only",2016,85 (0.2%) students,85
Engineering,Male,"Asian, only",2016,1444 (2.8%) students,1444
Engineering,Male,"American Indian or Alaska Native, only",2016,No students match your selections or these data are privacy suppressed.,
Engineering,Male,"White, only",2015,2274 (4.5%) students,2274
Engineering,Male,Unknown or Blank,2015,53 (0.1%) students,53
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2015,120 (0.2%) students,120
Engineering,Male,Non-resident Alien,2015,1189 (2.3%) students,1189
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2015,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2015,704 (1.4%) students,704
Engineering,Male,"Black or African American, two or more excluding Hispanic",2015,15 (0.0%) students,15
Engineering,Male,"Black or African American, only",2015,88 (0.2%) students,88
Engineering,Male,"Asian, only",2015,1318 (2.6%) students,1318
Engineering,Male,"American Indian or Alaska Native, only",2015,No students match your selections or these data are privacy suppressed.,
Engineering,Male,"White, only",2014,2417 (4.7%) students,2417
Engineering,Male,Unknown or Blank,2014,44 (0.1%) students,44
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2014,117 (0.2%) students,117
Engineering,Male,Non-resident Alien,2014,1169 (2.3%) students,1169
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2014,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2014,701 (1.4%) students,701
Engineering,Male,"Black or African American, two or more excluding Hispanic",2014,11 (0.0%) students,11
Engineering,Male,"Black or African American, only",2014,85 (0.2%) students,85
Engineering,Male,"Asian, only",2014,1249 (2.4%) students,1249
Engineering,Male,"American Indian or Alaska Native, only",2014,7 (0.0%) students,7
Engineering,Male,"White, only",2013,2550 (4.9%) students,2550
Engineering,Male,Unknown or Blank,2013,35 (0.1%) students,35
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2013,107 (0.2%) students,107
Engineering,Male,Non-resident Alien,2013,1153 (2.2%) students,1153
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2013,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2013,785 (1.5%) students,785
Engineering,Male,"Black or African American, two or more excluding Hispanic",2013,11 (0.0%) students,11
Engineering,Male,"Black or African American, only",2013,92 (0.2%) students,92
Engineering,Male,"Asian, only",2013,1130 (2.2%) students,1130
Engineering,Male,"American Indian or Alaska Native, only",2013,6 (0.0%) students,6
Engineering,Male,"White, only",2012,2688 (5.2%) students,2688
Engineering,Male,Unknown or Blank,2012,27 (0.1%) students,27
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2012,81 (0.2%) students,81
Engineering,Male,Non-resident Alien,2012,1166 (2.2%) students,1166
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2012,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2012,793 (1.5%) students,793
Engineering,Male,"Black or African American, two or more excluding Hispanic",2012,10 (0.0%) students,10
Engineering,Male,"Black or African American, only",2012,93 (0.2%) students,93
Engineering,Male,"Asian, only",2012,1100 (2.1%) students,1100
Engineering,Male,"American Indian or Alaska Native, only",2012,9 (0.0%) students,9
Engineering,Male,"White, only",2011,2686 (5.3%) students,2686
Engineering,Male,Unknown or Blank,2011,31 (0.1%) students,31
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2011,52 (0.1%) students,52
Engineering,Male,Non-resident Alien,2011,1127 (2.2%) students,1127
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2011,No students match your selections or these data are privacy suppressed.,
Engineering,Male,Hispanic,2011,812 (1.6%) students,812
Engineering,Male,"Black or African American, two or more excluding Hispanic",2011,8 (0.0%) students,8
Engineering,Male,"Black or African American, only",2011,118 (0.2%) students,118
Engineering,Male,"Asian, only",2011,1059 (2.1%) students,1059
Engineering,Male,"American Indian or Alaska Native, only",2011,14 (0.0%) students,14
Engineering,Male,"White, only",2010,2758 (5.4%) students,2758
