College,Gender,Race,Year,Number of students
Communication,Male,Unknown or Blank,2008,7
Communication,Male,"Two or more, excluding Hispanic and Black or African American",2008,0
Communication,Male,Non-resident Alien,2008,75
Communication,Male,Hispanic,2008,272
Communication,Male,"Black or African American, two or more excluding Hispanic",2008,0
Communication,Male,"Black or African American, only",2008,75
Communication,Male,"Asian, only",2008,122
Communication,Male,"American Indian or Alaska Native, only",2008,9
Education,Female,"White, only",2018,832
Education,Female,Unknown or Blank,2018,16
Education,Female,"Two or more, excluding Hispanic and Black or African American",2018,41
Education,Female,Non-resident Alien,2018,130
Education,Female,Hispanic,2018,473
Education,Female,"Black or African American, two or more excluding Hispanic",2018,15
Education,Female,"Black or African American, only",2018,142
Education,Female,"Asian, only",2018,137
Education,Female,"American Indian or Alaska Native, only",2018,0
Education,Female,"White, only",2017,914
Education,Female,Unknown or Blank,2017,19
Education,Female,"Two or more, excluding Hispanic and Black or African American",2017,38
Education,Female,Non-resident Alien,2017,125
Education,Female,Hispanic,2017,489
Education,Female,"Black or African American, two or more excluding Hispanic",2017,15
Education,Female,"Black or African American, only",2017,123
Education,Female,"Asian, only",2017,147
Education,Female,"American Indian or Alaska Native, only",2017,6
Education,Female,"White, only",2016,929
Education,Female,Unknown or Blank,2016,19
Education,Female,"Two or more, excluding Hispanic and Black or African American",2016,49
Education,Female,Non-resident Alien,2016,131
Education,Female,Hispanic,2016,480
Education,Female,"Black or African American, two or more excluding Hispanic",2016,17
Education,Female,"Black or African American, only",2016,136
Education,Female,"Asian, only",2016,156
Education,Female,"American Indian or Alaska Native, only",2016,0
Education,Female,"White, only",2015,1049
Education,Female,Unknown or Blank,2015,15
Education,Female,"Two or more, excluding Hispanic and Black or African American",2015,46
Education,Female,Non-resident Alien,2015,128
Education,Female,Hispanic,2015,493
Education,Female,"Black or African American, two or more excluding Hispanic",2015,18
Education,Female,"Black or African American, only",2015,166
Education,Female,"Asian, only",2015,145
Education,Female,"American Indian or Alaska Native, only",2015,0
Education,Female,"White, only",2014,1144
Education,Female,Unknown or Blank,2014,17
Education,Female,"Two or more, excluding Hispanic and Black or African American",2014,46
Education,Female,Non-resident Alien,2014,153
Education,Female,Hispanic,2014,477
Education,Female,"Black or African American, two or more excluding Hispanic",2014,17
Education,Female,"Black or African American, only",2014,155
Education,Female,"Asian, only",2014,126
Education,Female,"American Indian or Alaska Native, only",2014,0
Education,Female,"White, only",2013,1231
Education,Female,Unknown or Blank,2013,15
Education,Female,"Two or more, excluding Hispanic and Black or African American",2013,37
Education,Female,Non-resident Alien,2013,152
Education,Female,Hispanic,2013,500
Education,Female,"Black or African American, two or more excluding Hispanic",2013,13
Education,Female,"Black or African American, only",2013,168
Education,Female,"Asian, only",2013,128
Education,Female,"American Indian or Alaska Native, only",2013,5
Education,Female,"White, only",2012,1243
Education,Female,Unknown or Blank,2012,18
Education,Female,"Two or more, excluding Hispanic and Black or African American",2012,25
Education,Female,Non-resident Alien,2012,156
Education,Female,Hispanic,2012,512
Education,Female,"Black or African American, two or more excluding Hispanic",2012,11
Education,Female,"Black or African American, only",2012,163
Education,Female,"Asian, only",2012,164
Education,Female,"American Indian or Alaska Native, only",2012,0
Education,Female,"White, only",2011,1286
Education,Female,Unknown or Blank,2011,17
Education,Female,"Two or more, excluding Hispanic and Black or African American",2011,21
Education,Female,Non-resident Alien,2011,148
Education,Female,Hispanic,2011,490
Education,Female,"Black or African American, two or more excluding Hispanic",2011,8
Education,Female,"Black or African American, only",2011,167
Education,Female,"Asian, only",2011,163
Education,Female,"American Indian or Alaska Native, only",2011,6
Education,Female,"White, only",2010,1341
Education,Female,Unknown or Blank,2010,25
Education,Female,"Two or more, excluding Hispanic and Black or African American",2010,16
Education,Female,Non-resident Alien,2010,162
Education,Female,Hispanic,2010,488
Education,Female,"Black or African American, two or more excluding Hispanic",2010,8
Education,Female,"Black or African American, only",2010,178
Education,Female,"Asian, only",2010,179
Education,Female,"American Indian or Alaska Native, only",2010,11
Education,Female,"White, only",2009,1275
Education,Female,Unknown or Blank,2009,20
Education,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Education,Female,Non-resident Alien,2009,170
Education,Female,Hispanic,2009,449
Education,Female,"Black or African American, two or more excluding Hispanic",2009,0
Education,Female,"Black or African American, only",2009,185
Education,Female,"Asian, only",2009,162
Education,Female,"American Indian or Alaska Native, only",2009,10
Education,Female,"White, only",2008,1263
Education,Female,Unknown or Blank,2008,16
Education,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Education,Female,Non-resident Alien,2008,163
Education,Female,Hispanic,2008,427
Education,Female,"Black or African American, two or more excluding Hispanic",2008,0
Education,Female,"Black or African American, only",2008,162
Education,Female,"Asian, only",2008,143
Education,Female,"American Indian or Alaska Native, only",2008,11
Education,Male,"White, only",2018,416
Education,Male,Unknown or Blank,2018,7
Education,Male,"Two or more, excluding Hispanic and Black or African American",2018,11
Education,Male,Non-resident Alien,2018,62
Education,Male,Hispanic,2018,198
Education,Male,"Black or African American, two or more excluding Hispanic",2018,14
Education,Male,"Black or African American, only",2018,94
Education,Male,"Asian, only",2018,71
Education,Male,"American Indian or Alaska Native, only",2018,0
Education,Male,"White, only",2017,391
Education,Male,Unknown or Blank,2017,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2017,19
Education,Male,Non-resident Alien,2017,69
Education,Male,Hispanic,2017,199
Education,Male,"Black or African American, two or more excluding Hispanic",2017,8
Education,Male,"Black or African American, only",2017,82
Education,Male,"Asian, only",2017,66
Education,Male,"American Indian or Alaska Native, only",2017,0
Education,Male,"White, only",2016,407
Education,Male,Unknown or Blank,2016,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2016,19
Education,Male,Non-resident Alien,2016,77
Education,Male,Hispanic,2016,209
Education,Male,"Black or African American, two or more excluding Hispanic",2016,9
Education,Male,"Black or African American, only",2016,93
Education,Male,"Asian, only",2016,73
Education,Male,"American Indian or Alaska Native, only",2016,0
Education,Male,"White, only",2015,449
Education,Male,Unknown or Blank,2015,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2015,14
Education,Male,Non-resident Alien,2015,72
Education,Male,Hispanic,2015,253
Education,Male,"Black or African American, two or more excluding Hispanic",2015,9
Education,Male,"Black or African American, only",2015,121
Education,Male,"Asian, only",2015,82
Education,Male,"American Indian or Alaska Native, only",2015,0
Education,Male,"White, only",2014,492
Education,Male,Unknown or Blank,2014,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2014,14
Education,Male,Non-resident Alien,2014,71
Education,Male,Hispanic,2014,246
Education,Male,"Black or African American, two or more excluding Hispanic",2014,7
Education,Male,"Black or African American, only",2014,124
Education,Male,"Asian, only",2014,72
Education,Male,"American Indian or Alaska Native, only",2014,0
Education,Male,"White, only",2013,515
Education,Male,Unknown or Blank,2013,5
Education,Male,"Two or more, excluding Hispanic and Black or African American",2013,13
Education,Male,Non-resident Alien,2013,63
Education,Male,Hispanic,2013,268
Education,Male,"Black or African American, two or more excluding Hispanic",2013,7
Education,Male,"Black or African American, only",2013,110
Education,Male,"Asian, only",2013,87
Education,Male,"American Indian or Alaska Native, only",2013,0
Education,Male,"White, only",2012,567
Education,Male,Unknown or Blank,2012,11
Education,Male,"Two or more, excluding Hispanic and Black or African American",2012,12
Education,Male,Non-resident Alien,2012,67
Education,Male,Hispanic,2012,238
Education,Male,"Black or African American, two or more excluding Hispanic",2012,5
Education,Male,"Black or African American, only",2012,104
Education,Male,"Asian, only",2012,73
Education,Male,"American Indian or Alaska Native, only",2012,6
Education,Male,"White, only",2011,543
Education,Male,Unknown or Blank,2011,10
Education,Male,"Two or more, excluding Hispanic and Black or African American",2011,9
Education,Male,Non-resident Alien,2011,76
Education,Male,Hispanic,2011,239
Education,Male,"Black or African American, two or more excluding Hispanic",2011,0
Education,Male,"Black or African American, only",2011,118
Education,Male,"Asian, only",2011,71
Education,Male,"American Indian or Alaska Native, only",2011,5
Education,Male,"White, only",2010,552
Education,Male,Unknown or Blank,2010,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2010,5
Education,Male,Non-resident Alien,2010,77
Education,Male,Hispanic,2010,228
Education,Male,"Black or African American, two or more excluding Hispanic",2010,0
Education,Male,"Black or African American, only",2010,117
Education,Male,"Asian, only",2010,67
Education,Male,"American Indian or Alaska Native, only",2010,0
Education,Male,"White, only",2009,540
Education,Male,Unknown or Blank,2009,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
Education,Male,Non-resident Alien,2009,77
Education,Male,Hispanic,2009,211
Education,Male,"Black or African American, two or more excluding Hispanic",2009,0
Education,Male,"Black or African American, only",2009,119
Education,Male,"Asian, only",2009,53
Education,Male,"American Indian or Alaska Native, only",2009,6
Education,Male,"White, only",2008,484
Education,Male,Unknown or Blank,2008,0
Education,Male,"Two or more, excluding Hispanic and Black or African American",2008,0
Education,Male,Non-resident Alien,2008,73
Education,Male,Hispanic,2008,194
Education,Male,"Black or African American, two or more excluding Hispanic",2008,0
Education,Male,"Black or African American, only",2008,118
Education,Male,"Asian, only",2008,49
Education,Male,"American Indian or Alaska Native, only",2008,0
Engineering,Female,"White, only",2018,784
Engineering,Female,Unknown or Blank,2018,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2018,80
Engineering,Female,Non-resident Alien,2018,324
Engineering,Female,Hispanic,2018,299
Engineering,Female,"Black or African American, two or more excluding Hispanic",2018,13
Engineering,Female,"Black or African American, only",2018,52
Engineering,Female,"Asian, only",2018,551
Engineering,Female,"White, only",2017,778
Engineering,Female,Unknown or Blank,2017,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2017,75
Engineering,Female,Non-resident Alien,2017,316
Engineering,Female,Hispanic,2017,287
Engineering,Female,"Black or African American, two or more excluding Hispanic",2017,11
Engineering,Female,"Black or African American, only",2017,47
Engineering,Female,"Asian, only",2017,546
Engineering,Female,"White, only",2016,786
Engineering,Female,Unknown or Blank,2016,28
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2016,70
Engineering,Female,Non-resident Alien,2016,299
Engineering,Female,Hispanic,2016,280
Engineering,Female,"Black or African American, two or more excluding Hispanic",2016,8
Engineering,Female,"Black or African American, only",2016,50
Engineering,Female,"Asian, only",2016,533
Engineering,Female,"White, only",2015,774
Engineering,Female,Unknown or Blank,2015,21
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2015,71
Engineering,Female,Non-resident Alien,2015,277
Engineering,Female,Hispanic,2015,255
Engineering,Female,"Black or African American, two or more excluding Hispanic",2015,0
Engineering,Female,"Black or African American, only",2015,47
Engineering,Female,"Asian, only",2015,484
Engineering,Female,"White, only",2014,749
Engineering,Female,Unknown or Blank,2014,15
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2014,60
Engineering,Female,Non-resident Alien,2014,273
Engineering,Female,Hispanic,2014,234
Engineering,Female,"Black or African American, two or more excluding Hispanic",2014,0
Engineering,Female,"Black or African American, only",2014,40
Engineering,Female,"Asian, only",2014,436
Engineering,Female,"White, only",2013,749
Engineering,Female,Unknown or Blank,2013,12
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2013,47
Engineering,Female,Non-resident Alien,2013,275
Engineering,Female,Hispanic,2013,247
Engineering,Female,"Black or African American, two or more excluding Hispanic",2013,0
Engineering,Female,"Black or African American, only",2013,49
Engineering,Female,"Asian, only",2013,377
Engineering,Female,"White, only",2012,761
Engineering,Female,Unknown or Blank,2012,11
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2012,41
Engineering,Female,Non-resident Alien,2012,267
Engineering,Female,Hispanic,2012,227
Engineering,Female,"Black or African American, two or more excluding Hispanic",2012,0
Engineering,Female,"Black or African American, only",2012,48
Engineering,Female,"Asian, only",2012,348
Engineering,Female,"White, only",2011,750
Engineering,Female,Unknown or Blank,2011,9
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2011,30
Engineering,Female,Non-resident Alien,2011,285
Engineering,Female,Hispanic,2011,227
Engineering,Female,"Black or African American, two or more excluding Hispanic",2011,0
Engineering,Female,"Black or African American, only",2011,36
Engineering,Female,"Asian, only",2011,318
Engineering,Female,"White, only",2010,753
Engineering,Female,Unknown or Blank,2010,9
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2010,18
Engineering,Female,Non-resident Alien,2010,307
Engineering,Female,Hispanic,2010,233
Engineering,Female,"Black or African American, two or more excluding Hispanic",2010,0
Engineering,Female,"Black or African American, only",2010,31
Engineering,Female,"Asian, only",2010,312
Engineering,Female,"White, only",2009,739
Engineering,Female,Unknown or Blank,2009,8
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Engineering,Female,Non-resident Alien,2009,300
Engineering,Female,Hispanic,2009,233
Engineering,Female,"Black or African American, two or more excluding Hispanic",2009,0
Engineering,Female,"Black or African American, only",2009,34
Engineering,Female,"Asian, only",2009,343
Engineering,Female,"White, only",2008,665
Engineering,Female,Unknown or Blank,2008,7
Engineering,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Engineering,Female,Non-resident Alien,2008,271
Engineering,Female,Hispanic,2008,204
Engineering,Female,"Black or African American, two or more excluding Hispanic",2008,0
Engineering,Female,"Black or African American, only",2008,33
Engineering,Female,"Asian, only",2008,320
Engineering,Male,"White, only",2018,2109
Engineering,Male,Unknown or Blank,2018,88
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2018,174
Engineering,Male,Non-resident Alien,2018,1158
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2018,7
Engineering,Male,Hispanic,2018,763
Engineering,Male,"Black or African American, two or more excluding Hispanic",2018,24
Engineering,Male,"Black or African American, only",2018,104
Engineering,Male,"Asian, only",2018,1485
Engineering,Male,"American Indian or Alaska Native, only",2018,0
Engineering,Male,"White, only",2017,2157
Engineering,Male,Unknown or Blank,2017,78
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2017,156
Engineering,Male,Non-resident Alien,2017,1178
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2017,5
Engineering,Male,Hispanic,2017,738
Engineering,Male,"Black or African American, two or more excluding Hispanic",2017,21
Engineering,Male,"Black or African American, only",2017,94
Engineering,Male,"Asian, only",2017,1460
Engineering,Male,"American Indian or Alaska Native, only",2017,0
Engineering,Male,"White, only",2016,2170
Engineering,Male,Unknown or Blank,2016,81
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2016,135
Engineering,Male,Non-resident Alien,2016,1194
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2016,0
Engineering,Male,Hispanic,2016,700
Engineering,Male,"Black or African American, two or more excluding Hispanic",2016,22
Engineering,Male,"Black or African American, only",2016,85
Engineering,Male,"Asian, only",2016,1444
Engineering,Male,"American Indian or Alaska Native, only",2016,0
Engineering,Male,"White, only",2015,2274
Engineering,Male,Unknown or Blank,2015,53
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2015,120
Engineering,Male,Non-resident Alien,2015,1189
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2015,0
Engineering,Male,Hispanic,2015,704
Engineering,Male,"Black or African American, two or more excluding Hispanic",2015,15
Engineering,Male,"Black or African American, only",2015,88
Engineering,Male,"Asian, only",2015,1318
Engineering,Male,"American Indian or Alaska Native, only",2015,0
Engineering,Male,"White, only",2014,2417
Engineering,Male,Unknown or Blank,2014,44
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2014,117
Engineering,Male,Non-resident Alien,2014,1169
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2014,0
Engineering,Male,Hispanic,2014,701
Engineering,Male,"Black or African American, two or more excluding Hispanic",2014,11
Engineering,Male,"Black or African American, only",2014,85
Engineering,Male,"Asian, only",2014,1249
Engineering,Male,"American Indian or Alaska Native, only",2014,7
Engineering,Male,"White, only",2013,2550
Engineering,Male,Unknown or Blank,2013,35
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2013,107
Engineering,Male,Non-resident Alien,2013,1153
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2013,0
Engineering,Male,Hispanic,2013,785
Engineering,Male,"Black or African American, two or more excluding Hispanic",2013,11
Engineering,Male,"Black or African American, only",2013,92
Engineering,Male,"Asian, only",2013,1130
Engineering,Male,"American Indian or Alaska Native, only",2013,6
Engineering,Male,"White, only",2012,2688
Engineering,Male,Unknown or Blank,2012,27
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2012,81
Engineering,Male,Non-resident Alien,2012,1166
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2012,0
Engineering,Male,Hispanic,2012,793
Engineering,Male,"Black or African American, two or more excluding Hispanic",2012,10
Engineering,Male,"Black or African American, only",2012,93
Engineering,Male,"Asian, only",2012,1100
Engineering,Male,"American Indian or Alaska Native, only",2012,9
Engineering,Male,"White, only",2011,2686
Engineering,Male,Unknown or Blank,2011,31
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2011,52
Engineering,Male,Non-resident Alien,2011,1127
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2011,0
Engineering,Male,Hispanic,2011,812
Engineering,Male,"Black or African American, two or more excluding Hispanic",2011,8
Engineering,Male,"Black or African American, only",2011,118
Engineering,Male,"Asian, only",2011,1059
Engineering,Male,"American Indian or Alaska Native, only",2011,14
Engineering,Male,"White, only",2010,2758
Engineering,Male,Unknown or Blank,2010,31
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2010,29
Engineering,Male,Non-resident Alien,2010,1165
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2010,0
Engineering,Male,Hispanic,2010,792
Engineering,Male,"Black or African American, two or more excluding Hispanic",2010,7
Engineering,Male,"Black or African American, only",2010,133
Engineering,Male,"Asian, only",2010,1061
Engineering,Male,"American Indian or Alaska Native, only",2010,17
Engineering,Male,"White, only",2009,2879
Engineering,Male,Unknown or Blank,2009,15
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
Engineering,Male,Non-resident Alien,2009,1207
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2009,0
Engineering,Male,Hispanic,2009,724
Engineering,Male,"Black or African American, two or more excluding Hispanic",2009,0
Engineering,Male,"Black or African American, only",2009,127
Engineering,Male,"Asian, only",2009,1081
Engineering,Male,"American Indian or Alaska Native, only",2009,17
Engineering,Male,"White, only",2008,2750
Engineering,Male,Unknown or Blank,2008,16
Engineering,Male,"Two or more, excluding Hispanic and Black or African American",2008,0
Engineering,Male,Non-resident Alien,2008,1150
Engineering,Male,"Native Hawaiian or Other Pacific Islander, only",2008,0
Engineering,Male,Hispanic,2008,659
Engineering,Male,"Black or African American, two or more excluding Hispanic",2008,0
Engineering,Male,"Black or African American, only",2008,120
Engineering,Male,"Asian, only",2008,997
Engineering,Male,"American Indian or Alaska Native, only",2008,16
Fine Arts,Female,"White, only",2018,642
Fine Arts,Female,Unknown or Blank,2018,12
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2018,46
Fine Arts,Female,Non-resident Alien,2018,95
Fine Arts,Female,Hispanic,2018,261
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2018,12
Fine Arts,Female,"Black or African American, only",2018,70
Fine Arts,Female,"Asian, only",2018,116
Fine Arts,Female,"American Indian or Alaska Native, only",2018,0
Fine Arts,Female,"White, only",2017,588
Fine Arts,Female,Unknown or Blank,2017,14
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2017,42
Fine Arts,Female,Non-resident Alien,2017,107
Fine Arts,Female,Hispanic,2017,228
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2017,9
Fine Arts,Female,"Black or African American, only",2017,58
Fine Arts,Female,"Asian, only",2017,99
Fine Arts,Female,"American Indian or Alaska Native, only",2017,0
Fine Arts,Female,"White, only",2016,582
Fine Arts,Female,Unknown or Blank,2016,16
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2016,47
Fine Arts,Female,Non-resident Alien,2016,100
Fine Arts,Female,Hispanic,2016,229
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2016,9
Fine Arts,Female,"Black or African American, only",2016,49
Fine Arts,Female,"Asian, only",2016,76
Fine Arts,Female,"American Indian or Alaska Native, only",2016,0
Fine Arts,Female,"White, only",2015,607
Fine Arts,Female,Unknown or Blank,2015,17
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2015,47
Fine Arts,Female,Non-resident Alien,2015,98
Fine Arts,Female,Hispanic,2015,200
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2015,9
Fine Arts,Female,"Black or African American, only",2015,38
Fine Arts,Female,"Asian, only",2015,68
Fine Arts,Female,"American Indian or Alaska Native, only",2015,0
Fine Arts,Female,"White, only",2014,629
Fine Arts,Female,Unknown or Blank,2014,7
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2014,38
Fine Arts,Female,Non-resident Alien,2014,91
Fine Arts,Female,Hispanic,2014,199
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2014,6
Fine Arts,Female,"Black or African American, only",2014,30
Fine Arts,Female,"Asian, only",2014,64
Fine Arts,Female,"American Indian or Alaska Native, only",2014,0
Fine Arts,Female,"White, only",2013,685
Fine Arts,Female,Unknown or Blank,2013,8
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2013,36
Fine Arts,Female,Non-resident Alien,2013,88
Fine Arts,Female,Hispanic,2013,189
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2013,9
Fine Arts,Female,"Black or African American, only",2013,37
Fine Arts,Female,"Asian, only",2013,69
Fine Arts,Female,"American Indian or Alaska Native, only",2013,0
Fine Arts,Female,"White, only",2012,735
Fine Arts,Female,Unknown or Blank,2012,12
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2012,30
Fine Arts,Female,Non-resident Alien,2012,85
Fine Arts,Female,Hispanic,2012,194
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2012,9
Fine Arts,Female,"Black or African American, only",2012,45
Fine Arts,Female,"Asian, only",2012,90
Fine Arts,Female,"American Indian or Alaska Native, only",2012,0
Fine Arts,Female,"White, only",2011,758
Fine Arts,Female,Unknown or Blank,2011,13
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2011,21
Fine Arts,Female,Non-resident Alien,2011,78
Fine Arts,Female,Hispanic,2011,166
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2011,8
Fine Arts,Female,"Black or African American, only",2011,34
Fine Arts,Female,"Asian, only",2011,78
Fine Arts,Female,"American Indian or Alaska Native, only",2011,5
Fine Arts,Female,"White, only",2010,713
Fine Arts,Female,Unknown or Blank,2010,12
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2010,11
Fine Arts,Female,Non-resident Alien,2010,69
Fine Arts,Female,Hispanic,2010,162
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2010,5
Fine Arts,Female,"Black or African American, only",2010,36
Fine Arts,Female,"Asian, only",2010,80
Fine Arts,Female,"American Indian or Alaska Native, only",2010,8
Fine Arts,Female,"White, only",2009,747
Fine Arts,Female,Unknown or Blank,2009,13
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2009,0
Fine Arts,Female,Non-resident Alien,2009,76
Fine Arts,Female,Hispanic,2009,162
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2009,0
Fine Arts,Female,"Black or African American, only",2009,39
Fine Arts,Female,"Asian, only",2009,83
Fine Arts,Female,"American Indian or Alaska Native, only",2009,8
Fine Arts,Female,"White, only",2008,766
Fine Arts,Female,Unknown or Blank,2008,12
Fine Arts,Female,"Two or more, excluding Hispanic and Black or African American",2008,0
Fine Arts,Female,Non-resident Alien,2008,81
Fine Arts,Female,Hispanic,2008,155
Fine Arts,Female,"Black or African American, two or more excluding Hispanic",2008,0
Fine Arts,Female,"Black or African American, only",2008,31
Fine Arts,Female,"Asian, only",2008,76
Fine Arts,Female,"American Indian or Alaska Native, only",2008,7
Fine Arts,Male,"White, only",2018,369
Fine Arts,Male,Unknown or Blank,2018,7
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2018,25
Fine Arts,Male,Non-resident Alien,2018,62
Fine Arts,Male,Hispanic,2018,198
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2018,6
Fine Arts,Male,"Black or African American, only",2018,37
Fine Arts,Male,"Asian, only",2018,53
Fine Arts,Male,"White, only",2017,345
Fine Arts,Male,Unknown or Blank,2017,6
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2017,24
Fine Arts,Male,Non-resident Alien,2017,62
Fine Arts,Male,Hispanic,2017,175
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2017,7
Fine Arts,Male,"Black or African American, only",2017,32
Fine Arts,Male,"Asian, only",2017,55
Fine Arts,Male,"White, only",2016,348
Fine Arts,Male,Unknown or Blank,2016,5
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2016,19
Fine Arts,Male,Non-resident Alien,2016,67
Fine Arts,Male,Hispanic,2016,160
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2016,0
Fine Arts,Male,"Black or African American, only",2016,25
Fine Arts,Male,"Asian, only",2016,47
Fine Arts,Male,"White, only",2015,347
Fine Arts,Male,Unknown or Blank,2015,0
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2015,15
Fine Arts,Male,Non-resident Alien,2015,53
Fine Arts,Male,Hispanic,2015,140
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2015,0
Fine Arts,Male,"Black or African American, only",2015,24
Fine Arts,Male,"Asian, only",2015,32
Fine Arts,Male,"White, only",2014,358
Fine Arts,Male,Unknown or Blank,2014,6
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2014,15
Fine Arts,Male,Non-resident Alien,2014,58
Fine Arts,Male,Hispanic,2014,144
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2014,0
Fine Arts,Male,"Black or African American, only",2014,21
Fine Arts,Male,"Asian, only",2014,38
Fine Arts,Male,"White, only",2013,397
Fine Arts,Male,Unknown or Blank,2013,5
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2013,14
Fine Arts,Male,Non-resident Alien,2013,57
Fine Arts,Male,Hispanic,2013,135
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2013,5
Fine Arts,Male,"Black or African American, only",2013,20
Fine Arts,Male,"Asian, only",2013,40
Fine Arts,Male,"White, only",2012,416
Fine Arts,Male,Unknown or Blank,2012,7
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2012,13
Fine Arts,Male,Non-resident Alien,2012,50
Fine Arts,Male,Hispanic,2012,139
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2012,0
Fine Arts,Male,"Black or African American, only",2012,18
Fine Arts,Male,"Asian, only",2012,33
Fine Arts,Male,"White, only",2011,419
Fine Arts,Male,Unknown or Blank,2011,10
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2011,13
Fine Arts,Male,Non-resident Alien,2011,43
Fine Arts,Male,Hispanic,2011,130
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2011,0
Fine Arts,Male,"Black or African American, only",2011,17
Fine Arts,Male,"Asian, only",2011,35
Fine Arts,Male,"White, only",2010,438
Fine Arts,Male,Unknown or Blank,2010,9
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2010,8
Fine Arts,Male,Non-resident Alien,2010,40
Fine Arts,Male,Hispanic,2010,117
Fine Arts,Male,"Black or African American, two or more excluding Hispanic",2010,0
Fine Arts,Male,"Black or African American, only",2010,19
Fine Arts,Male,"Asian, only",2010,37
Fine Arts,Male,"White, only",2009,433
Fine Arts,Male,Unknown or Blank,2009,10
Fine Arts,Male,"Two or more, excluding Hispanic and Black or African American",2009,0
